issue_key,file_path,file,rule,impact_severity,impact_quality,type,message,line,effort
AZ4INYAnUdMD1-xUqsQ1,lib/sqlalchemy/orm/events.py,events.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.,852,11min
AZ4INYAnUdMD1-xUqsQ3,lib/sqlalchemy/orm/events.py,events.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.,1634,12min
AZ4INYAnUdMD1-xUqsQ5,lib/sqlalchemy/orm/events.py,events.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 31 to the 15 allowed.,2540,21min
AZ4INYAuUdMD1-xUqsQ9,lib/sqlalchemy/orm/interfaces.py,interfaces.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",1426,5min
AZ4INX_eUdMD1-xUqsN-,lib/sqlalchemy/orm/loading.py,loading.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 81 to the 15 allowed.,78,1h11min
AZ4INX_eUdMD1-xUqsN_,lib/sqlalchemy/orm/loading.py,loading.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Specify an exception class to catch or reraise the exception,147,5min
AZ4INX_eUdMD1-xUqsOA,lib/sqlalchemy/orm/loading.py,loading.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Specify an exception class to catch or reraise the exception,171,5min
AZ4INX_eUdMD1-xUqsOC,lib/sqlalchemy/orm/loading.py,loading.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,365,10min
AZ4INX_eUdMD1-xUqsOF,lib/sqlalchemy/orm/loading.py,loading.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 28 to the 15 allowed.,526,18min
AZ4INX_eUdMD1-xUqsOG,lib/sqlalchemy/orm/loading.py,loading.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 192 to the 15 allowed.,811,3h2min
AZ4INX_eUdMD1-xUqsOM,lib/sqlalchemy/orm/loading.py,loading.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 33 to the 15 allowed.,1325,23min
AZ4INX_eUdMD1-xUqsOQ,lib/sqlalchemy/orm/loading.py,loading.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 38 to the 15 allowed.,1382,28min
AZ4INX_eUdMD1-xUqsOR,lib/sqlalchemy/orm/loading.py,loading.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 28 to the 15 allowed.,1436,18min
AZ4INX_eUdMD1-xUqsOT,lib/sqlalchemy/orm/loading.py,loading.py,python:S2710,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename ""self"" to a valid class parameter name or add the missing class parameter.",1573,5min
AZ4INX_LUdMD1-xUqsM3,lib/sqlalchemy/orm/mapper.py,mapper.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 26 to the 15 allowed.,201,16min
AZ4INX_LUdMD1-xUqsM4,lib/sqlalchemy/orm/mapper.py,mapper.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 67 to the 15 allowed.,1185,57min
AZ4INX_LUdMD1-xUqsM6,lib/sqlalchemy/orm/mapper.py,mapper.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 29 to the 15 allowed.,1456,19min
AZ4INX_LUdMD1-xUqsM7,lib/sqlalchemy/orm/mapper.py,mapper.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 31 to the 15 allowed.,1579,21min
AZ4INX_LUdMD1-xUqsM8,lib/sqlalchemy/orm/mapper.py,mapper.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 48 to the 15 allowed.,1706,38min
AZ4INX_LUdMD1-xUqsM9,lib/sqlalchemy/orm/mapper.py,mapper.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 59 to the 15 allowed.,1822,49min
AZ4INX_LUdMD1-xUqsM_,lib/sqlalchemy/orm/mapper.py,mapper.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 54 to the 15 allowed.,2076,44min
AZ4INX_LUdMD1-xUqsNA,lib/sqlalchemy/orm/mapper.py,mapper.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,3297,7min
AZ4INX_LUdMD1-xUqsNC,lib/sqlalchemy/orm/mapper.py,mapper.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.,3606,13min
AZ4INX_LUdMD1-xUqsND,lib/sqlalchemy/orm/mapper.py,mapper.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,3780,7min
AZ4INX_LUdMD1-xUqsNE,lib/sqlalchemy/orm/mapper.py,mapper.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.,3803,8min
AZ4INX_LUdMD1-xUqsNF,lib/sqlalchemy/orm/mapper.py,mapper.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 33 to the 15 allowed.,4211,23min
AZ4INX_xUdMD1-xUqsPA,lib/sqlalchemy/orm/path_registry.py,path_registry.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""_InternalEntityType[Any]"" 3 times.",60,6min
AZ4INX_xUdMD1-xUqsO_,lib/sqlalchemy/orm/path_registry.py,path_registry.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""AliasedInsp[Any]"" 4 times.",468,8min
AZ4INYADUdMD1-xUqsPY,lib/sqlalchemy/orm/persistence.py,persistence.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 28 to the 15 allowed.,211,18min
AZ4INYADUdMD1-xUqsPZ,lib/sqlalchemy/orm/persistence.py,persistence.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 41 to the 15 allowed.,326,31min
AZ4INYADUdMD1-xUqsPa,lib/sqlalchemy/orm/persistence.py,persistence.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 95 to the 15 allowed.,427,1h25min
AZ4INYADUdMD1-xUqsPe,lib/sqlalchemy/orm/persistence.py,persistence.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.,636,13min
AZ4INYADUdMD1-xUqsPi,lib/sqlalchemy/orm/persistence.py,persistence.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 71 to the 15 allowed.,728,1h1min
AZ4INYADUdMD1-xUqsPk,lib/sqlalchemy/orm/persistence.py,persistence.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 167 to the 15 allowed.,962,2h37min
AZ4INYADUdMD1-xUqsPl,lib/sqlalchemy/orm/persistence.py,persistence.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 26 to the 15 allowed.,1286,16min
AZ4INYADUdMD1-xUqsPn,lib/sqlalchemy/orm/persistence.py,persistence.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 29 to the 15 allowed.,1404,19min
AZ4INYADUdMD1-xUqsPp,lib/sqlalchemy/orm/persistence.py,persistence.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 29 to the 15 allowed.,1503,19min
AZ4INYADUdMD1-xUqsPq,lib/sqlalchemy/orm/persistence.py,persistence.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,1578,6min
AZ4INYADUdMD1-xUqsPr,lib/sqlalchemy/orm/persistence.py,persistence.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 37 to the 15 allowed.,1628,27min
AZ4INYAqUdMD1-xUqsQ6,lib/sqlalchemy/orm/properties.py,properties.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 67 to the 15 allowed.,732,57min
AZ4INYANUdMD1-xUqsP7,lib/sqlalchemy/orm/query.py,query.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",3327,5min
AZ4INX_WUdMD1-xUqsNg,lib/sqlalchemy/orm/relationships.py,relationships.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.,767,15min
AZ4INX_WUdMD1-xUqsNh,lib/sqlalchemy/orm/relationships.py,relationships.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,1171,6min
AZ4INX_WUdMD1-xUqsNi,lib/sqlalchemy/orm/relationships.py,relationships.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 31 to the 15 allowed.,1371,21min
AZ4INX_WUdMD1-xUqsNj,lib/sqlalchemy/orm/relationships.py,relationships.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.,1493,9min
AZ4INX_WUdMD1-xUqsNm,lib/sqlalchemy/orm/relationships.py,relationships.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 38 to the 15 allowed.,1735,28min
AZ4INX_WUdMD1-xUqsNn,lib/sqlalchemy/orm/relationships.py,relationships.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.,2055,13min
AZ4INX_WUdMD1-xUqsNo,lib/sqlalchemy/orm/relationships.py,relationships.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.,2158,13min
AZ4INX_WUdMD1-xUqsNq,lib/sqlalchemy/orm/relationships.py,relationships.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.,2382,11min
AZ4INX_WUdMD1-xUqsNt,lib/sqlalchemy/orm/relationships.py,relationships.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 32 to the 15 allowed.,2566,22min
AZ4INX_WUdMD1-xUqsNu,lib/sqlalchemy/orm/relationships.py,relationships.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.,2964,9min
AZ4INX_WUdMD1-xUqsNv,lib/sqlalchemy/orm/relationships.py,relationships.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.,3057,8min
AZ4INX_WUdMD1-xUqsNw,lib/sqlalchemy/orm/relationships.py,relationships.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,3116,7min
AZ4INX_WUdMD1-xUqsNx,lib/sqlalchemy/orm/relationships.py,relationships.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.,3247,15min
AZ4INX_WUdMD1-xUqsNy,lib/sqlalchemy/orm/relationships.py,relationships.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.,3386,15min
AZ4INX_tUdMD1-xUqsOr,lib/sqlalchemy/orm/session.py,session.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,381,6min
AZ4INX_tUdMD1-xUqsOs,lib/sqlalchemy/orm/session.py,session.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 43 to the 15 allowed.,1155,33min
AZ4INX_tUdMD1-xUqsOu,lib/sqlalchemy/orm/session.py,session.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.,1274,8min
AZ4INX_tUdMD1-xUqsOv,lib/sqlalchemy/orm/session.py,session.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Specify an exception class to catch or reraise the exception,1300,5min
AZ4INX_tUdMD1-xUqsOw,lib/sqlalchemy/orm/session.py,session.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 27 to the 15 allowed.,1341,17min
AZ4INX_tUdMD1-xUqsOz,lib/sqlalchemy/orm/session.py,session.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 35 to the 15 allowed.,2134,25min
AZ4INX_tUdMD1-xUqsO0,lib/sqlalchemy/orm/session.py,session.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 58 to the 15 allowed.,2688,48min
AZ4INX_tUdMD1-xUqsO1,lib/sqlalchemy/orm/session.py,session.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 26 to the 15 allowed.,3331,16min
AZ4INX_tUdMD1-xUqsO3,lib/sqlalchemy/orm/session.py,session.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 28 to the 15 allowed.,3756,18min
AZ4INX_tUdMD1-xUqsO5,lib/sqlalchemy/orm/session.py,session.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 36 to the 15 allowed.,3970,26min
AZ4INX_tUdMD1-xUqsO6,lib/sqlalchemy/orm/session.py,session.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.,4371,15min
AZ4INX_tUdMD1-xUqsO7,lib/sqlalchemy/orm/session.py,session.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Specify an exception class to catch or reraise the exception,4486,5min
AZ4INX_tUdMD1-xUqsO8,lib/sqlalchemy/orm/session.py,session.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Specify an exception class to catch or reraise the exception,4761,5min
AZ4INX_tUdMD1-xUqsO-,lib/sqlalchemy/orm/session.py,session.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,4945,30min
AZ4INX-qUdMD1-xUqsLh,lib/sqlalchemy/orm/state.py,state.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.,467,13min
AZ4INX-qUdMD1-xUqsLg,lib/sqlalchemy/orm/state.py,state.py,python:S2710,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename ""self"" to a valid class parameter name or add the missing class parameter.",468,5min
AZ4INX-qUdMD1-xUqsLj,lib/sqlalchemy/orm/state.py,state.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Specify an exception class to catch or reraise the exception,570,5min
AZ4INX-qUdMD1-xUqsLn,lib/sqlalchemy/orm/state.py,state.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,751,10min
AZ4INX-qUdMD1-xUqsLo,lib/sqlalchemy/orm/state.py,state.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 56 to the 15 allowed.,865,46min
AZ4INX-qUdMD1-xUqsLq,lib/sqlalchemy/orm/state.py,state.py,python:S2710,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename ""self"" to a valid class parameter name or add the missing class parameter.",988,5min
AZ4INYATUdMD1-xUqsP_,lib/sqlalchemy/orm/state_changes.py,state_changes.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 24 to the 15 allowed.,67,14min
AZ4INX-xUdMD1-xUqsLt,lib/sqlalchemy/orm/strategies.py,strategies.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.,66,9min
AZ4INX-xUdMD1-xUqsLu,lib/sqlalchemy/orm/strategies.py,strategies.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",177,5min
AZ4INX-xUdMD1-xUqsLx,lib/sqlalchemy/orm/strategies.py,strategies.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 33 to the 15 allowed.,867,23min
AZ4INX-xUdMD1-xUqsLy,lib/sqlalchemy/orm/strategies.py,strategies.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 44 to the 15 allowed.,995,34min
AZ4INX-xUdMD1-xUqsLz,lib/sqlalchemy/orm/strategies.py,strategies.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.,1281,9min
AZ4INX-xUdMD1-xUqsLr,lib/sqlalchemy/orm/strategies.py,strategies.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""'%s' does not support object "" 3 times.",2002,6min
AZ4INX-xUdMD1-xUqsL7,lib/sqlalchemy/orm/strategies.py,strategies.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.,2125,13min
AZ4INX-xUdMD1-xUqsL_,lib/sqlalchemy/orm/strategies.py,strategies.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 35 to the 15 allowed.,2416,25min
AZ4INX-xUdMD1-xUqsMA,lib/sqlalchemy/orm/strategies.py,strategies.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.,2575,15min
AZ4INX-xUdMD1-xUqsME,lib/sqlalchemy/orm/strategies.py,strategies.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 33 to the 15 allowed.,3063,23min
AZ4INX-xUdMD1-xUqsMF,lib/sqlalchemy/orm/strategies.py,strategies.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.,3274,11min
AZ4INX-xUdMD1-xUqsMG,lib/sqlalchemy/orm/strategies.py,strategies.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.,3329,11min
AZ4INX_EUdMD1-xUqsMt,lib/sqlalchemy/orm/strategy_options.py,strategy_options.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 27 to the 15 allowed.,1255,17min
AZ4INX_EUdMD1-xUqsMx,lib/sqlalchemy/orm/strategy_options.py,strategy_options.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.,1927,8min
AZ4INX_EUdMD1-xUqsMz,lib/sqlalchemy/orm/strategy_options.py,strategy_options.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 41 to the 15 allowed.,2298,31min
AZ4INYAbUdMD1-xUqsQi,lib/sqlalchemy/orm/unitofwork.py,unitofwork.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 55 to the 15 allowed.,43,45min
AZ4INYAbUdMD1-xUqsQk,lib/sqlalchemy/orm/unitofwork.py,unitofwork.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.,389,15min
AZ4INYAbUdMD1-xUqsQm,lib/sqlalchemy/orm/unitofwork.py,unitofwork.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,518,10min
AZ4INYAbUdMD1-xUqsQh,lib/sqlalchemy/orm/unitofwork.py,unitofwork.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""%s(%s)"" 4 times.",666,8min
AZ4INX_2UdMD1-xUqsPF,lib/sqlalchemy/orm/util.py,util.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 38 to the 15 allowed.,272,28min
AZ4INX_2UdMD1-xUqsPI,lib/sqlalchemy/orm/util.py,util.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,338,6min
AZ4INX_2UdMD1-xUqsPD,lib/sqlalchemy/orm/util.py,util.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""_InternalEntityType[Any]"" 3 times.",1394,6min
AZ4INX_2UdMD1-xUqsPL,lib/sqlalchemy/orm/util.py,util.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 30 to the 15 allowed.,1808,20min
AZ4INX_2UdMD1-xUqsPM,lib/sqlalchemy/orm/util.py,util.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,2227,6min
AZ4INX_2UdMD1-xUqsPQ,lib/sqlalchemy/orm/util.py,util.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 29 to the 15 allowed.,2315,19min
AZ4INX-1UdMD1-xUqsMJ,lib/sqlalchemy/orm/writeonly.py,writeonly.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",482,5min
AZ4INYCGUdMD1-xUqsSn,lib/sqlalchemy/pool/base.py,base.py,python:S5754,HIGH,MAINTAINABILITY,CODE_SMELL,Catch a more specific exception or reraise the exception,899,5min
AZ4INYCGUdMD1-xUqsSo,lib/sqlalchemy/pool/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 44 to the 15 allowed.,917,34min
AZ4INYCGUdMD1-xUqsSp,lib/sqlalchemy/pool/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 40 to the 15 allowed.,1256,30min
AZ4INYB-UdMD1-xUqsSi,lib/sqlalchemy/pool/events.py,events.py,secrets:S6698,HIGH,SECURITY,VULNERABILITY,Make sure this PostgreSQL database password gets changed and removed from the code.,49,30min
AZ4INYCDUdMD1-xUqsSk,lib/sqlalchemy/pool/impl.py,impl.py,python:S3516,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this method to not always return the same value.,196,2min
AZ4INYCDUdMD1-xUqsSj,lib/sqlalchemy/pool/impl.py,impl.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""Pool recreating"" 5 times.",205,10min
AZ4INYCDUdMD1-xUqsSl,lib/sqlalchemy/pool/impl.py,impl.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",324,5min
AZ4INYCDUdMD1-xUqsSm,lib/sqlalchemy/pool/impl.py,impl.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",503,5min
AZ4INX8pUdMD1-xUqsJV,lib/sqlalchemy/sql/_typing.py,_typing.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""ColumnElement[Any]"" 3 times.",79,6min
AZ4INX8pUdMD1-xUqsJW,lib/sqlalchemy/sql/_typing.py,_typing.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""ColumnElement[_T]"" 3 times.",141,6min
AZ4INX8pUdMD1-xUqsJU,lib/sqlalchemy/sql/_typing.py,_typing.py,python:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""SQLCoreOperations[_T]"" 3 times.",149,6min
AZ4INX7cUdMD1-xUqsE1,lib/sqlalchemy/sql/annotation.py,annotation.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,410,7min
AZ4INX8GUdMD1-xUqsGO,lib/sqlalchemy/sql/base.py,base.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",199,5min
AZ4INX8GUdMD1-xUqsGV,lib/sqlalchemy/sql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.,1810,11min
AZ4INX8GUdMD1-xUqsGX,lib/sqlalchemy/sql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.,2025,12min
AZ4INX7XUdMD1-xUqsEC,lib/sqlalchemy/sql/cache_key.py,cache_key.py,python:S5720,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename ""s"" to ""self"" or add the missing ""self"" parameter.",47,5min
AZ4INX7XUdMD1-xUqsED,lib/sqlalchemy/sql/cache_key.py,cache_key.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,149,7min
AZ4INX7XUdMD1-xUqsEF,lib/sqlalchemy/sql/cache_key.py,cache_key.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 40 to the 15 allowed.,222,30min
AZ4INX7XUdMD1-xUqsEH,lib/sqlalchemy/sql/cache_key.py,cache_key.py,python:S935,HIGH,RELIABILITY,BUG,Return a value of type `int` here.,442,5min
