issue_key,file_path,file,rule,impact_severity,impact_quality,type,message,line,effort,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,sqale_index,lines,reliability_rating,security_rating,commit_count,unique_authors,churn,days_since_modified,file_age_days,satd_count,satd_text,satd_age_days,satd_change_count,pool_rank
AZ4INX57UdMD1-xUqsBK,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S101,LOW,MAINTAINABILITY,CODE_SMELL,"Rename class ""AsyncAdapt_aioodbc_cursor"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",28,5min,0.0,0.0,7.0,7.0,24.0,12.0,32.0,175.0,A,A,4,2,24,67,951,1.0,how it's supposed to work,,,67
AZ4INX57UdMD1-xUqsBL,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S101,LOW,MAINTAINABILITY,CODE_SMELL,"Rename class ""AsyncAdapt_aioodbc_ss_cursor"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",39,5min,0.0,0.0,7.0,7.0,24.0,12.0,32.0,175.0,A,A,4,2,24,67,951,1.0,how it's supposed to work,,,68
AZ4INX57UdMD1-xUqsBM,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S101,LOW,MAINTAINABILITY,CODE_SMELL,"Rename class ""AsyncAdapt_aioodbc_connection"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",45,5min,0.0,0.0,7.0,7.0,24.0,12.0,32.0,175.0,A,A,4,2,24,67,951,1.0,how it's supposed to work,,,69
AZ4INX57UdMD1-xUqsBN,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S101,LOW,MAINTAINABILITY,CODE_SMELL,"Rename class ""AsyncAdaptFallback_aioodbc_connection"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",90,5min,0.0,0.0,7.0,7.0,24.0,12.0,32.0,175.0,A,A,4,2,24,67,951,1.0,how it's supposed to work,,,70
AZ4INX57UdMD1-xUqsBP,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S101,LOW,MAINTAINABILITY,CODE_SMELL,"Rename class ""AsyncAdapt_aioodbc_dbapi"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",96,5min,0.0,0.0,7.0,7.0,24.0,12.0,32.0,175.0,A,A,4,2,24,67,951,1.0,how it's supposed to work,,,71
AZ4INX57UdMD1-xUqsBO,lib/sqlalchemy/connectors/aioodbc.py,aioodbc.py,python:S116,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this field ""Cursor"" to match the regular expression ^[_a-z][_a-z0-9]*$.",102,2min,0.0,0.0,7.0,7.0,24.0,12.0,32.0,175.0,A,A,4,2,24,67,951,1.0,how it's supposed to work,,,72
AZ4INX28UdMD1-xUqr7j,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",2085,0min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,6121,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",,,73
AZ4INX28UdMD1-xUqr7k,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",2462,0min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,6121,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",,,74
AZ4INX28UdMD1-xUqr7p,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",3376,0min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,6121,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",,,75
AZ4INX28UdMD1-xUqr7u,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",3970,0min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,6121,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",,,76
AZ4INX2rUdMD1-xUqr7A,lib/sqlalchemy/dialects/mssql/information_schema.py,information_schema.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",148,0min,0.0,0.0,1.0,1.0,7.0,3.0,0.0,255.0,A,A,3,2,66,2,6121,1.0,TODO: is CATLOG misspelled ?,,,77
AZ4INX21UdMD1-xUqr7K,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""DBAPIBinary"" to match the regular expression ^[_a-z][a-z0-9_]*$.",452,2min,0.0,1.0,15.0,16.0,65.0,73.0,69.0,746.0,A,E,3,2,67,2,6121,,,,,78
AZ4INX21UdMD1-xUqr7W,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""odbc_SQL_SS_TIMESTAMPOFFSET"" to match the regular expression ^[_a-z][a-z0-9_]*$.",716,2min,0.0,1.0,15.0,16.0,65.0,73.0,69.0,746.0,A,E,3,2,67,2,6121,,,,,79
AZ4INX4IUdMD1-xUqr-F,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S116,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this field ""Cursor"" to match the regular expression ^[_a-z][_a-z0-9]*$.",228,2min,0.0,0.0,16.0,16.0,54.0,16.0,64.0,334.0,A,A,8,3,129,2,2093,,,,,80
AZ4INX4IUdMD1-xUqr-G,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S116,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this field ""SSCursor"" to match the regular expression ^[_a-z][_a-z0-9]*$.",228,2min,0.0,0.0,16.0,16.0,54.0,16.0,64.0,334.0,A,A,8,3,129,2,2093,,,,,81
AZ4INX4RUdMD1-xUqr-b,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S116,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this field ""Binary"" to match the regular expression ^[_a-z][_a-z0-9]*$.",270,2min,0.0,0.0,14.0,14.0,55.0,19.0,72.0,338.0,A,A,8,3,122,2,1713,,,,,82
AZ4INX3_UdMD1-xUqr9q,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S2737,LOW,MAINTAINABILITY,CODE_SMELL,Add logic to this except clause or eliminate it and rethrow the exception automatically.,2568,5min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,6121,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,,,83
AZ4INX3_UdMD1-xUqr9v,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S2772,LOW,MAINTAINABILITY,CODE_SMELL,"Remove this unneeded ""pass"".",3158,2min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,6121,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,,,84
AZ4INX4VUdMD1-xUqr-g,lib/sqlalchemy/dialects/mysql/pymysql.py,pymysql.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""Connection"" to match the regular expression ^[_a-z][a-z0-9_]*$.",89,2min,0.0,1.0,2.0,3.0,14.0,16.0,7.0,138.0,A,E,4,3,48,2,5583,,,,,85
AZ4INX4CUdMD1-xUqr95,lib/sqlalchemy/dialects/mysql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""pyodbc_SQL_CHAR"" to match the regular expression ^[_a-z][a-z0-9_]*$.",129,2min,0.0,0.0,4.0,4.0,11.0,6.0,14.0,139.0,A,A,3,3,48,2,6121,,,,,86
AZ4INX4CUdMD1-xUqr96,lib/sqlalchemy/dialects/mysql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""pyodbc_SQL_WCHAR"" to match the regular expression ^[_a-z][a-z0-9_]*$.",130,2min,0.0,0.0,4.0,4.0,11.0,6.0,14.0,139.0,A,A,3,3,48,2,6121,,,,,87
AZ4INX3WUdMD1-xUqr8n,lib/sqlalchemy/dialects/postgresql/asyncpg.py,asyncpg.py,python:S3626,LOW,MAINTAINABILITY,CODE_SMELL,Remove this redundant continue.,675,1min,0.0,0.0,17.0,17.0,164.0,141.0,67.0,1279.0,A,A,14,4,290,23,2218,2.0,TODO: looks like we have to hand-roll some kind of batching here. | hardcoding for the moment but this should be improved.,,,88
AZ4INX3WUdMD1-xUqr8t,lib/sqlalchemy/dialects/postgresql/asyncpg.py,asyncpg.py,python:S100,LOW,MAINTAINABILITY,CODE_SMELL,"Rename method ""Binary"" to match the regular expression ^[a-z_][a-z0-9_]*$.",1017,5min,0.0,0.0,17.0,17.0,164.0,141.0,67.0,1279.0,A,A,14,4,290,23,2218,2.0,TODO: looks like we have to hand-roll some kind of batching here. | hardcoding for the moment but this should be improved.,,,89
AZ4INX3oUdMD1-xUqr9O,lib/sqlalchemy/dialects/postgresql/provision.py,provision.py,python:S2737,LOW,MAINTAINABILITY,CODE_SMELL,Add logic to this except clause or eliminate it and rethrow the exception automatically.,57,5min,0.0,0.0,1.0,1.0,19.0,21.0,5.0,176.0,A,A,3,2,19,27,2309,,,,,90
AZ4INX3GUdMD1-xUqr8E,lib/sqlalchemy/dialects/postgresql/psycopg.py,psycopg.py,python:S116,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this field ""_psycopg_ExecStatus"" to match the regular expression ^[_a-z][_a-z0-9]*$.",563,2min,0.0,3.0,15.0,18.0,123.0,66.0,60.0,777.0,A,E,9,4,166,2,1699,,,,,91
AZ4INX2cUdMD1-xUqr6c,lib/sqlalchemy/dialects/sqlite/base.py,base.py,python:S6353,LOW,MAINTAINABILITY,CODE_SMELL,Use concise character class syntax '\D' instead of '[^0-9]'.,957,5min,2.0,0.0,11.0,13.0,262.0,315.0,119.0,2807.0,C,A,18,10,569,2,6121,11.0,"`sqlite3 SELECT does not BEGIN a transaction, but should according to spec <https://github.com/python/cpython/issues/54133>`_ - imported Python standard library issue on github | not recommended**.   While this is generally a bad idea for relational | Core and ORM queries that use UNION may not function properly**. | TODO: detect SQLite version 3.10.0 or greater; | this flag used by pysqlite dialect, and perhaps others in the | conversions (and perhaps datetime/time as well on some hypothetical | so parsing the columns is really about matching it up to what | Extract CHECK constraints by properly handling balanced parentheses | index. this could fail to extract the predicate correctly on | unless the regex is broken this case shouldn't happen | work around SQLite issue whereby cursor.description",,,92
AZ4INX2cUdMD1-xUqr6i,lib/sqlalchemy/dialects/sqlite/base.py,base.py,python:S5857,LOW,MAINTAINABILITY,CODE_SMELL,"Replace this use of a reluctant quantifier with ""[^\)]*"".",2332,3min,2.0,0.0,11.0,13.0,262.0,315.0,119.0,2807.0,C,A,18,10,569,2,6121,11.0,"`sqlite3 SELECT does not BEGIN a transaction, but should according to spec <https://github.com/python/cpython/issues/54133>`_ - imported Python standard library issue on github | not recommended**.   While this is generally a bad idea for relational | Core and ORM queries that use UNION may not function properly**. | TODO: detect SQLite version 3.10.0 or greater; | this flag used by pysqlite dialect, and perhaps others in the | conversions (and perhaps datetime/time as well on some hypothetical | so parsing the columns is really about matching it up to what | Extract CHECK constraints by properly handling balanced parentheses | index. this could fail to extract the predicate correctly on | unless the regex is broken this case shouldn't happen | work around SQLite issue whereby cursor.description",,,93
AZ4INX2YUdMD1-xUqr6V,lib/sqlalchemy/dialects/sqlite/provision.py,provision.py,python:S3626,LOW,MAINTAINABILITY,CODE_SMELL,Remove this redundant continue.,61,1min,0.0,0.0,7.0,7.0,33.0,37.0,26.0,199.0,A,A,3,1,39,95,2309,2.0,TODO: I can't get this to build dynamically with pytest-xdist procs | apply SQLite savepoint workaround,,,94
AZ4INX5FUdMD1-xUqr_q,lib/sqlalchemy/engine/cursor.py,cursor.py,python:S1481,LOW,MAINTAINABILITY,CODE_SMELL,"Replace unused local variable ""e_ridx"" with ""_"".",777,5min,0.0,0.0,18.0,18.0,209.0,189.0,82.0,2182.0,A,A,10,4,552,2,2210,8.0,"TODO: need unit test for: | 1. originally, it was used to fix an issue in very old SQLite | TODO: can consider pre-loading ints and negative ints | TODO: consider serializing this as SimpleResultMetaData | TODO: test this case | all result rows are exhausted using the fetchXXX() methods. | TODO: if these are Row objects, can we save on not having to | what's actually happening right now?  maybe look into this",,,95
AZ4INX5qUdMD1-xUqsAs,lib/sqlalchemy/engine/result.py,result.py,python:S1481,LOW,MAINTAINABILITY,CODE_SMELL,"Replace unused local variable ""uniques"" with ""_"".",774,5min,1.0,0.0,8.0,9.0,302.0,287.0,152.0,2383.0,E,A,8,4,583,53,5024,2.0,TODO: are we freezing the result with or without uniqueness | TODO: this throws away the iterator which may be holding,,,96
AZ4INX5CUdMD1-xUqr_j,lib/sqlalchemy/engine/url.py,url.py,python:S1940,LOW,MAINTAINABILITY,CODE_SMELL,"Use the opposite operator (""!="") instead.",690,2min,1.0,0.0,4.0,5.0,100.0,110.0,29.0,911.0,B,A,1,1,2,116,7290,,,,,97
AZ4INX5CUdMD1-xUqr_l,lib/sqlalchemy/engine/url.py,url.py,python:S5842,LOW,RELIABILITY,BUG,Rework this part of the regex to not match the empty string.,861,5min,1.0,0.0,4.0,5.0,100.0,110.0,29.0,911.0,B,A,1,1,2,116,7290,,,,,98
AZ4INYCXUdMD1-xUqsS9,lib/sqlalchemy/event/attr.py,attr.py,python:S2737,LOW,MAINTAINABILITY,CODE_SMELL,Add logic to this except clause or eliminate it and rethrow the exception automatically.,485,5min,1.0,0.0,8.0,9.0,117.0,64.0,40.0,656.0,E,A,3,3,52,2,4671,1.0,"first error, I don't really understand:",,,99
AZ4INYCRUdMD1-xUqsSy,lib/sqlalchemy/event/legacy.py,legacy.py,python:S1481,LOW,MAINTAINABILITY,CODE_SMELL,"Replace unused local variable ""conv"" with ""_"".",194,5min,0.0,0.0,6.0,6.0,26.0,33.0,37.0,247.0,A,A,3,2,21,2,4671,,,,,100
